label;text
1;Vodnice v solné krustě a hořčicovo-smetanová omáčka
1;Mungo burgery
0;Smažená telecí játra s cibulkou
0;Plněné kedlubny s vepřovým masem a kari
1;Rýže s karamelizovanou cibulkou
1;Zapečená cuketa
1;Grilované cukety s česnekem
1;Základní recept na rýži
1;Krémové rizoto
1;Řepový závin s kozím sýrem
1;Frittata s jarní cibulkou a houbami
0;Hovězí steak s omáčkou z portského a hranolky
0;Dušené hovězí po italsku
1;Teplý fazolovo-houbový salát s pečeným česnekem
1;Ředkvičky zapečené s medem a skořicí
1;Indické bramborové kari s kopřivami
1;Šťouchané brambory s rozmarýnem
1;Rukolové závitky
1;Pikantní zelená čočka s opékaným panýrem
0; Ossobuco milanese
1;Nakládaný chřest
1;Kouřový lilek s pečenými paprikami a granátovým jablkem
1;Tortilly z trouby se žampiony a sýrem brie
0;Podmáslový řízek s jablkovým salátem
1;Rajčátka v alobalu
0;Nadýchané biftečky
1;Grilovaná zelenina s bazalkou
0;Pečené vepřové kotlety à la puttanesca
1;Kofty ze zeleného hrášku v kari omáčce po paňdžábsku
0;Jehněčí s vůní Orientu
1;Slaný koláč s květákem a rozmarýnem
1;Pikantní vegetariánská vajíčka
1;Gratinované topinambury s cibulí
0;Burgery s trhaným vepřovým na cidru
1;Pečený česnek s rajčatovou bruschettou
0;Smažené telecí nožičky
0;Pečené uzené koleno s povidlovým glazé
1;Frittata z trouby s květákem
0;Vepřová panenka s bílým chřestem
1;Pečené lilky s čočkou a kozím sýrem
1;Dýňový hummus
0; Pljeskavica v chlebu pita
1;Houbová omáčka a bacán
0;VIDEO: Vepřová panenka plněná špenátem a mozzarellou
0;Svíčková jako burger
0;Mnichovský řízek
0;Hovězí consommé Sarah Bernhardt s nočky
0;Hotdogy s pivní cibulkou
0;Bylinkovo-česnekový vepřový bok
1;Marinovaná feta s pečenou paprikou
0;Dušené jehněčí kolínko se špenátem a bramborami
0;Pečená hovězí žebra s květákovým pyré a červenou řepou
0;Bibimbap
1;Pečené brambory s omáčkou z fety
1;Omeleta s fetou a tuňákem
0;Špízy hovězí a cuketa
0;Grilované jehněčí kotletky s pikantním kuskusem
1;Gnocchi zapékané s brokolicí a špenátem
1;Ztracené vejce
1;Ruský sýr
1;Plněné chilli papričky
1;Fazolky s česnekem a nivou
1;Omeleta s cuketou
0;Rostbíf s tatarkou
0;Karbanátky
0;Telecí pečeně nastudeno
1;Tropický ovocný salát
0;Pošírovaná hovězí špička se zeleninou a knedlíčky
1;Marocký kořeněný koláč
1;Pečené brokolicové nočky
0;Vepřová plec s kořeněnou nádivkou
0;Vepřová pečeně s celerem
1;Sýrová terina s barevným salátem
0;Dušená kachna s nudlemi
1;Smažená mozzarella na listovém salátu
1;Poctivá bramboračka
1;safranove rizoto
0;Řízky po námořnicku
0;Milánská kotleta
0;Živáňská pečeně
1;Sýrové tyčinky
0;Kotlety s hořčicí
0;Burger s grilovaným hovězím srdcem a křupavou slaninou 
1;Bramborový krém s vůní lanýžů
0;Rostbíf na hořčičném semínku
1;Zapečený špenát s pošírovaným vejcem a křupavou slaninou
1;Šťouchané brambory se špenátem
1;Mléčná rýže s čerstvým ovocem
1;Polenta
0;Bifteki se salátem a rozmarýnovými bramborami
1;Kari z ožehnutého lilku
0;Dokonalé boloňské ragú
0;Telecí kotlety s bylinkovým máslem a hráškovým pyré
1;Grilované houby
0;Masové kuličky v bleskové omáčce
1;Domácí mascarpone
1;Opékaná kapusta se slaninou
1;Mušličky s balzamikovými rajčaty a mozzarellou
0;Vepřové špízy & jižanský bramborový salát
0;Glazovaná jehněčí plec s česnekovými bramborami
1;Dýňová frittata s kozím sýrem
1;Plněné vejce s čedarem a chilli
1;Zapečené brambory se špenátem a bešamelem
0;Domácí paštika s bílým vínem a provensálským kořením
1;Ostré nachos
1;Těstoviny s šalotkami
1;Zapečený patizon a hokkaido
0;Rozmarýnové jehněčí a pečené brambory
0;Španělští ptáčci podle Dřevikovského
0;Burrito ve skle
0;Pečená květová špička se špenátem a knedlíky
0;Uzené s hrachovou kaší
1;Zelená pšenice s fenyklem
0;Kančí ragú s křupavou pokličkou
0;Kuřecí játra s chorizem & brambory
1;Sendvič se ztraceným vejcem a špenátem
1;Langoš LIP
1;Omeleta se žampiony a sýrovým krémem
1;Babčák
1;Houbový tatarák
1;Červená pšenice s dýní
0;Suvlaki 
1;Špenát
1;Hruška Krásná Helena
0;Pečená jehněčí kýta s kaparovým máslem a mátovou omáčkou
0;Kotlety se šalvějovým máslem
0;Hovězí pupek se žampionovou omáčkou
0;Telecí se svatební křenovo-mandlovou omáčkou
1;Pečená jablka v medu s tvarohovým krémem
1;Vegetariánská miska s falafelem
1;Bleskové rajčatové kari s lilkem
1;Rizoto se špenátem
1;Zapečená brokolice s chlebem a slaninou
0;Vepřové maso s fazolemi
1;Nasucho pečené papriky
1;Pikantní sýrové zákusky
0;Cassoulet s jehněčími kolínky
1;Bramborové drobce
0;Guláš s čepicí z listového těsta
1;Terina s modrým sýrem
1;Houbová paštika
1;Topinky s gorgonzolou a kopřivami
0;Uzené nasladko s bramborovými šiškami
0;Tatarský biftek ve stylu Alba
1;Rýže s houbami a citronem
0;Kuře na kapustičkách 
1;Lilky s neapolskou omáčkou
0;Šťavnatý špíz
0;Guláš z trouby
1;Křenové bliny s červenou řepou a uzeným pstruhem
1;Zasmahnutá brokolice s kešu oříšky
1;Quiche s dýní a listy červené řepy
1;Rajčatovo- bazalková granita
0;Vepřové závitky s ořechy
0;Sekaná z hub
1;Kořeněný bulgur s pečenými paprikami
1;Šalotky ve vinné omáčce
1;Špagetová dýně zapečená se sýrem
1;Omeleta z trouby s mandlemi a quinoou
0; Italské karbanátky a zelenina v troubě
1;Čekanka s pršutem a gremolatou
0;Vepřová roláda se slaninou a jablky
0;Vinná klobása s červeným zelím
0;Salát s telecím a křupavými bramborami
0;Kančí steaky na brusinkách se šťouchanmými brambory
0;Marinované vepřové kotlety
1;Svěží zapečené nachos
0;Vepřová líčka na cideru s jablky
1;Vrstvený kuba
1;Bramborové noky s gorgonzolou
1;Fazolkový paprikáš & halušky
1;Jarní sladké cibulky s kouřovou omáčkou romesco
1;Srbská vajíčka
0;Bažantí stehna se zelím a bramborovými knedlíčky
1;Smažená zelenina s majonézou
0;Mleté hovězí maso zapečené v bramborové kaši
0;Jehněčí na grilu s hráškem a fetou
0;Jehněčí špízy s tzatziki a chlebovými plackami
0;Hovězí salát s kapary
0;Ragú z artyčoků s králíkem
1;Domácí pivní sýr
0;Švédské kuličky ve smetanové omáčce
1;Zapečené brambory s makrelou
0;Telecí na paprice
1;Dýně z trouby
1;Vejce Benedikt podle šéfkuchaře Marka Fichtnera
0;Zapečené maso s bagetou
0;Vepřové s ovocným salátem
0;Šunka nasladko
1;Toasty s pečeným česnekem a kozím sýrem
1;Lilek zapečený s fetou
1;Zeleninové pakorky
0;Eintopf s vepřovým masem
1;Nasi Dagang
1;Lečo
1;Drobné ovoce se smetanou (a pár promile)
0;Vepřové na švestkách
0;Pečená kolena
0;Prejt s lepenicí
0;Jehněčí nožičky v červeném víně
0;Cizrnové palačinky s mletým masem a mangoldem
1;Zmáčklé brambory
1;Brambory na loupačku s domácí tatarkou
1;Grilované slívy
1;Omeleta s dýní
0;Pomalu vařený marinovaný bůček
1;Plněná rajčata po řecku
1;Šunkové válečky
0;Ambrozie z Verchlábe
1;Zeleninové kari s řapíkatým celerem
0;Krkovice s gulášovou šťávou
0;Klasická sekaná
0;Glazované vepřové kotlety
1;Dýňové špagety se slaninou a sýrem
0;Pennette s uzeným sýrem a zeleninou
1;Květák zapečený s paprikami a smetanou
1;Letní špagety s rajčaty
1;Brambory se salsou verde
0;Dušené hovězí carbonnade
0;Voňavý jehněčí kebab
1;Pórek na víně s tymiánem
1;Grilované batáty
1;Paprikové špízy
1;Zelený vegeburger
0;Vepřová pečeně se zelím
1;Chřestová terinka s kozím sýrem
0;Marocké ragú s kuskusem
1;Jarní rizoto s misem
1;Švédský salát
1;Olivy k snídani
0;Zázvorová šunka s kumquaty
1;Rajčatový koláč z těsta s olivovým olejem
0;Krkovička na asijský způsob
1;Bramborová kaše s olivovým olejem a citronem
0;Pikantní mleté vepřové s bramborovou kaší
1;Florentská vejce
1;Gratinované brambory s jablky
0;Savojské klobásky (diots) na bílém víně
0;Vepřová pečínka v mléce
1;Kelovy gulas
1;Sýrové jednohubky na slaných krekrech
0;Pečený bůček s nakládanou ředkví
1;Matzo brei se salámem a cibulí
0;Čína
1;Kořeněný tažín
0;Rostbíf s dresinkem z letních bylin
1;Mix olivy
1;Sladce pálivé zeleninové kari
1;Pastinákové hranolky s parmazánem
0;BBQ nachos
0;Hovězí tacos
1;Potočnicový salát s vejcem
1;Vejce zapečená se špenátem a parmazánem
1;Sejkory s medem
0;Daňčí roštěnky po burgundsku
0;Vepřový bůček glazovaný medem a černým pivem
1;Ricottové knedlíčky se špenátem
0;Steak s omáčkou pizzaiola
0;Vepřové špízy s citronem
0;Jehněčí kotlety s marockým kořením a ratatouille
1;Rizoto s medvědím česnekem
1;Zapečené česnekové brambory
0;Páj s uzeným kolenem
0; Česnekový vepřový řízek s bylinkovou krustičkou
0;Masové koule & omáčka chimichurri
1;Grilované plněné papriky s kuskusem
1;Zapečená dýně Hokkaido s česnekem a kozím sýrem
1;Čerstvý měkký sýr
1;Nakládané ředkvičky s koprem
1;Rizoto s máslovou dýní
1;Bramborová kaše s hráškem a sýrem
0;Grilované jehněčí kotlety s bylinkami
0;Uzené zapečené s kysaným zelím a bramborami
1;Pizza v mini
0;Dušená hovězí plec na šalotce
1;Batátový krém s uzenou paprikou
0;Vepřové s pórkem 
0;Pomalu pečený králík s česnekem
0;Kotletky s cukrovou kůrkou
1;Toust se špenátem s kopřivami
0;Kraslice
0;Ouška s trojím hráškem
0;Steak s křenem na toustu
1;Nachos se salsou
0;Panenka v kabátku se salátkem
1;Čokoládový rýžový pudink
1;Špenátové suflé
0;Klobásky na víně s ostružinami a jalovcem
0;Maková panenka s olivovou salsou
0;Jehněčí plecko s rozmarýnem
1;Tofu paprikáš
1;Pečená zelenina s kroupami a bylinkovým pestem
1;Smažené hovězí po čínsku s kešu
0;Musaka
1;Tvarohová pomazánka s pečenými banány
0;Španělský ptáček
0;Pečené karbanátky s vínem & citronem
1;Guláš ze sojového masa
1;Houbový bramborový guláš
1;Polévka guacamole
1;Brambora ve slupce se šalvějí
0;Hovězí maso se sušenými rajčaty a rozmarýnem
0;Pomalu pečený bůček
0;Zapečené těstoviny s vepřovým masem a fenyklem
1;Krémové těstoviny s bazalkou
1;Smaženky s cuketou
1;Pečená kořeněná mrkev
0;Vepřová sekaná s houbami
0;Medailonky z vepřové panenky s opečenými bramborami
1;Grilovaný čerstvý sýr s prosciuttem
1;Plněné vinné listy z trouby
0;Burgery s rajčátky a červenou cibulí
0;Mexické masové kuličky s bramborami
1;Květák v octovém nálevu
1;Poslední rande
0;Guláš Székely neboli segedínský guláš
1;Pečená rajčata s piniovými jadérky a fetou
1;Bramborové placky na grilu
1;Pečený plněný lilek
0;Grilované tortilly s vepřovým a ananasovou salsou
0;Hovězí svíčková
1;Snídaně na vidličku
1;Pikantní karotkový salát
1;Omeleta s hráškem a šunkou
0;Steak z vysokého roštěnce
0;Vepřové na hruškách
1;Zapečené brambory se zeleninou a slaninou
0;Smažené marinované králičí řízky
0;Krkovička v pivu
1;Knedlíčky gyoza (bezmasé)
1;Špíz kokos a banán
0;Velikonoční hlavička s uzeným masem
1;Fusilli s ricottou a bazalkou
1;Těstoviny trikolora
1;‚Bublanina‘ se sardinkami a olivami
1;Sladká rýžová polévka
0;Kančí Stroganoff
1;Pečené lupínky z červené řepy s jogurtovým dipem
1;Zapečené těstoviny s brokolicí
1;Fazolky na másle
1;Lilkové curry
1;Bramborové knedlíky plněné uzeným masem
0;Staropolský bigos
1;Omeleta s kozím sýrem a paprikovým salámem
1;Květák zapečený s modrým sýrem
1;Těstoviny zapečené se čtyřmi sýry
0;Roštěnky Esterházyovy podle Sandtnerové
0;Jehněčí kolínka s balzamikovým octem
0;Vitello tonnato
0;Tex-mex vepřová žebírka s grilovanou kukuřicí
1;Ovocné suflé
0;Čevabčiči
0;Jehněčí na česneku a mátě
0;Utopenci se zelím
0;Roštěná od Evíka
1;Vejce s pikantní zálivkou
0;Dušené hovězí s řepou
1;Rozpečený kozí sýr
1;Bublání a pískání
1;Vynikající pomazánka z tofu a lahůdkového droždí
1;Gratinovaná brokolice se sýrem a rajčaty
1;Rajčatový koláč Tarte Provençale podle šéfkuchaře Davida Kaliny
1;Bylinková omeleta s rajčaty
0;Dušený králík 
1;Dušené batáty s fazolemi a čedarovými knedlíčky
0;Trhané vepřové à la hornado
1;Arroz doce - sladká rýžová specialita z Portugalska
0;Steak s pepřovo-smetanovou omáčkou
0;Dušená jehněčí plec
0;Krkovice na pivu se zeleninou
1;Zapečený houbový chlebíček
0;Čevabčiči se zeleninovou rýží
0;Srbské žebírko
1;Cuketová ‚lízátka‘
0;Kotlety na česneku
1;Pošírované hrušky v županu
0;Kotlety s přílohou z 1 plechu
1;Brokolicové karbanátky & šťouchané brambory
0;Sójovo-zázvorová žebírka
1;Indický špenát - Palak
0;Hovězí na houbách
0;Vepřové na hořčici a smetaně
1;Bramborová focaccia pugliese
0;Křupavé paličky se zeleninovými hranolky
1;Lahodná kokosová rýže
0;Jitrnice čistě z masa
1;Butter chicken
0;Burger s quinoou & tzatziki
1;Zelenina s bylinkovým dipem
0;Předpečené vepřové po čínsku
